,Data_Type,cnt_non_null,cnt_null,null_%,cnt_unique,cnt_zeros,cnt_zero_and_null,zero_null_%,mean,std,min,1%,5%,25%,median,75%,95%,99%,max,variance,mode
bad_var,int64,579.0,0,0.0,2,355,355,61.3126079447323,0.38687392055267705,0.4874555108724622,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2376128750799331,0.0
Net_debits_last_1_month,float64,579.0,0,0.0,411,151,151,26.07944732297064,10760.77005181347,13427.745910114132,0.0,0.0,0.0,0.0,4695.6,17591.355,39867.201000000015,46909.01760000001,49775.0,180304360.2265868,0.0
Net_credits_last_1_month,float64,511.0,68,11.74,332,161,229,39.55094991364422,9678.1381409002,12729.944234223682,0.0,0.0,0.0,0.0,3361.0,14850.779999999999,37997.32,46823.399999999994,49517.5399999999,162051480.20644477,0.0
Balance_of_outstanding_loans_last_1_month,float64,517.0,62,10.71,356,142,204,35.233160621761655,14048.35027079304,22240.19204711757,0.0,0.0,0.0,0.0,2547.0,19453.0,67193.0,89174.87359999998,100000.0,494626142.2926716,0.0
loan_enquiries_last_1_month,int64,579.0,0,0.0,39,199,199,34.369602763385146,4.689119170984456,8.05882797882843,0.0,0.0,0.0,0.0,2.0,6.0,19.100000000000023,37.66000000000008,78.0,64.94470839234792,0.0
overdue_on_outstanding_loans_last_1_month,float64,559.0,20,3.45,305,234,254,43.86873920552677,3764.4606880629744,7694.001181977604,0.0,0.0,0.0,0.0,89.01943063714414,3247.7586985991866,21321.11387257117,34213.900135562464,45245.82015363759,59197654.18827277,0.0
age,int64,579.0,0,0.0,32,0,0,0.0,28.95336787564767,5.93035428617794,18.0,20.0,21.0,24.0,28.0,33.0,39.0,45.22000000000003,49.0,35.169101959589064,25.0
monthly_salary,float64,578.0,1,0.17,485,0,1,0.17271157167530224,19633.545363321788,10319.652189163811,78.13,3056.7411,8216.95,12766.5,18000.0,25000.0,36235.924499999994,51307.14000000004,93132.86,106495221.30531345,20000.0
number_of_bank_accounts,float64,560.0,19,3.28,6,0,19,3.2815198618307426,1.7160714285714285,1.0114331718301812,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0229970610784607,1.0
married_indicator,int64,579.0,0,0.0,2,536,536,92.573402417962,0.07426597582037997,0.26242996442459876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06886948622789618,0.0
day_of_application,object,579,0,0.0,8,0,0,0.0,,,,,,,,,,,,,Wednesday
levelofeducation_v1,object,579,0,0.0,6,0,0,0.0,,,,,,,,,,,,,12th Pass
state,object,579,0,0.0,18,0,0,0.0,,,,,,,,,,,,,Karnataka
